manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
