manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater
