manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
