manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
