manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
