manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
