manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
