manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
