manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
