manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
