manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
