manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
