manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
