manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
