manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
