manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
