manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
