manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
