manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
hyundai,sonata,2.5,1999,6,manual(m5),f,18,26,r,midsize
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize
