manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
